개방자치코드,인허가일자,영업상태코드,상세영업상태,소재지,도로명,사업장명,자본금
4201000,2012-07-06,03,폐업,강원특별자치도 강릉시 교동 1793-6 ,강원특별자치도 강릉시 원대로 189 (교동),즐거운여행(주),15886000
4201000,2016-02-05,02,휴업,강원특별자치도 강릉시 강동면 정동진리 282-2 ,강원특별자치도 강릉시 강동면 정동역길 83,(주)제이케이씨앤디,30952000
4201000,2017-07-20,03,폐업,강원특별자치도 강릉시 홍제동 991 ,"강원특별자치도 강릉시 하슬라로 18, 107호 (홍제동)",제이디홀딩스,5579000
4201000,2017-12-28,03,폐업,강원특별자치도 강릉시 포남동 1116-3 ,강원특별자치도 강릉시 강릉대로 343 (포남동),(주)하나로여행사,3963000
4201000,2018-03-22,03,폐업,강원특별자치도 강릉시 교동 146-3 ,강원특별자치도 강릉시 율곡로 2862 (교동),(주)강릉유니온관광,9676000
4211000,2005-01-25,04,등록취소,강원특별자치도 동해시 효가동 183-1 ,강원특별자치도 동해시 동해대로 5018 (효가동),(합)젤조은여행사,3994000
4211000,2012-02-20,03,폐업,강원특별자치도 동해시 발한동 74-9 ,강원특별자치도 동해시 향로봉길 42-1 (발한동),울릉도사랑,32671000
4211000,2009-10-08,04,등록취소,강원특별자치도 동해시 송정동 848-96 ,강원특별자치도 동해시 송정중앙로 71-1 (송정동),울릉도 해피투어,22658000
4211000,2013-01-23,01,영업중,강원특별자치도 동해시 천곡동 968-7 ,강원특별자치도 동해시 감추5길 25-1 (천곡동),한섬여행사,28000000
4211000,2013-05-02,01,영업중,강원특별자치도 동해시 효가동 360 ,강원특별자치도 동해시 동해대로 5133 (효가동),정도산업,27302000
4211000,2013-06-20,01,영업중,강원특별자치도 동해시 발한동 2-70 묵호항여객선터미널 ,"강원특별자치도 동해시 일출로 22, 묵호항여객선터미널 1층 (발한동)",오션투어,10256000
4211000,2013-09-03,01,영업중,강원특별자치도 동해시 천곡동 1034-12 ,강원특별자치도 동해시 동굴3길 12 (천곡동),배표천국,27127000
4211000,2015-02-02,01,영업중,강원특별자치도 동해시 평릉동 166-4 동해시공영버스터미널 109호,"강원특별자치도 동해시 동해대로 5443, 동해시공영버스터미널 109호 (평릉동)",트래블팩토리(주),5489000
4211000,2015-06-26,01,영업중,강원특별자치도 동해시 동회동 255-7 ,강원특별자치도 동해시 효자로 640 (동회동),(합)뉴미래관광,38542000
